location,MediaMortos
World,1479378.15
Europe,435781.52
"North America",397753.56
"South America",367182.18
"European Union",295565.65
"United States",274030.92
Asia,248166.65
Brazil,182642.16
India,110945.26
Mexico,93108.06
Peru,77217.53
"United Kingdom",64385.64
Italy,58683.54
Africa,54419.99
France,50577.84
Russia,43975.69
Spain,42238.77
Iran,37277.95
Colombia,36039.05
Germany,31451.35
Argentina,27678.46
"South Africa",24039.88
Poland,23846.48
Indonesia,19850.53
Turkey,17880.31
Ukraine,16703.17
Belgium,13918.79
Chile,13727.71
Canada,12599.98
Romania,11679.99
Ecuador,10797.32
Czechia,10341.42
Netherlands,9749.03
Hungary,8951.16
Iraq,8727.09
Pakistan,8717.47
Philippines,7511.14
Sweden,7424.68
Bolivia,7396.89
Portugal,6928.88
Egypt,6693.28
Bulgaria,5851.14
Bangladesh,5838.54
Switzerland,5200.62
"Saudi Arabia",4357.53
China,4258.04
Morocco,4194.37
Austria,4157.91
Tunisia,4100.81
Japan,3944.56
Guatemala,3726.8
Greece,3640.28
Slovakia,3560.41
Panama,3190.42
"Bosnia and Herzegovina",3150.42
Jordan,2971.41
Israel,2805.83
Honduras,2745.04
Croatia,2688.36
Ireland,2560.12
Paraguay,2521.27
Moldova,2469.31
Serbia,2443.61
Lebanon,2284.75
"Dominican Republic",1994.31
Kazakhstan,1959.72
Algeria,1944.06
"North Macedonia",1908.08
Armenia,1898.68
Azerbaijan,1800.49
Nepal,1679.09
Georgia,1647.01
Slovenia,1637.92
Afghanistan,1626.77
Ethiopia,1612.18
"Costa Rica",1583.48
Myanmar,1580.04
Lithuania,1447.5
Kenya,1247.48
Sudan,1222.26
Belarus,1211.38
Libya,1199.2
Denmark,1167.87
Palestine,1165.83
Nigeria,1148.71
"El Salvador",1092.95
Oman,1064.68
Kyrgyzstan,1050.95
Kosovo,973.38
Venezuela,943.64
Albania,936.06
Uruguay,825.23
"South Korea",786.86
Kuwait,776.22
Latvia,725.47
Malaysia,720.07
"United Arab Emirates",671.51
Yemen,634.31
Zimbabwe,630.52
Oceania,622.17
Syria,614.9
Montenegro,576.66
Australia,572.61
Zambia,559.58
Cameroon,503.91
Senegal,465.31
Finland,460.22
Malawi,452.33
Uzbekistan,410.27
"Democratic Republic of Congo",407.18
Norway,397.08
Ghana,364.25
Luxembourg,352.4
Estonia,348.26
Bahrain,339.14
"Sri Lanka",335.61
Angola,311.14
Jamaica,295.67
Mozambique,289.02
Madagascar,281.66
Namibia,275.5
Eswatini,274.57
Cuba,271.28
Mauritania,244.87
Somalia,237.19
Mali,231.4
Qatar,226.44
Botswana,222.61
Haiti,193.59
Uganda,187.94
Thailand,181.23
Malta,150.77
Belize,147.78
"Cote d'Ivoire",140.4
Guyana,139.25
Lesotho,134.06
"Trinidad and Tobago",132.5
Nicaragua,129.38
Rwanda,122.93
Cyprus,120.76
Suriname,120.64
Bahamas,114.3
Niger,106.02
"Cape Verde",101.03
Chad,100.87
"Hong Kong",100.01
Gambia,95.9
Congo,87.59
"Burkina Faso",87.56
Tajikistan,75.92
Andorra,74.84
Guinea,74.26
"Equatorial Guinea",71.75
Liberia,68.15
Gabon,67.42
Djibouti,66.18
"Sierra Leone",65.83
"South Sudan",63.01
Comoros,57.48
Togo,57.42
"Central African Republic",54.56
"San Marino",54.45
Maldives,48.74
Benin,47.78
Mongolia,46.8
Guinea-Bissau,38.94
Cambodia,38.51
Taiwan,37.14
"Papua New Guinea",31.57
Vietnam,23.67
Singapore,23.57
Liechtenstein,23.3
"New Zealand",21.8
"Saint Lucia",20.49
"Sao Tome and Principe",19.66
Tanzania,19.26
Iceland,18.28
Barbados,17.48
International,13.89
"Antigua and Barbuda",11.63
Monaco,11.16
Mauritius,10.98
Seychelles,9.24
Eritrea,4.12
"Saint Vincent and the Grenadines",3.2
Brunei,2.59
Burundi,2.54
Timor,2.1
Fiji,1.86
Grenada,0.39
Bhutan,0.37
Vanuatu,0.32
Laos,0.31
"Saint Kitts and Nevis",0.1
Anguilla,0
Aruba,0
Bermuda,0
"Bonaire Sint Eustatius and Saba",0
"British Virgin Islands",0
"Cayman Islands",0
"Cook Islands",0
Curacao,0
Dominica,0
"Faeroe Islands",0
"Falkland Islands",0
"French Polynesia",0
Gibraltar,0
Greenland,0
Guernsey,0
"Isle of Man",0
Jersey,0
Kiribati,0
Macao,0
"Marshall Islands",0
"Micronesia (country)",0
Montserrat,0
Nauru,0
"New Caledonia",0
"Northern Cyprus",0
Pitcairn,0
"Saint Helena",0
Samoa,0
"Sint Maarten (Dutch part)",0
"Solomon Islands",0
Tonga,0
Turkmenistan,0
"Turks and Caicos Islands",0
Tuvalu,0
Vatican,0
"Wallis and Futuna",0
